"","budget","id","popularity","Earnings","runtime","vote_average","vote_count","Distributor","Title","Director","actor.1","actor.2","actor.3","year","Action","Adventure","Animation","Comedy","Crime","Drama","Family","Fantasy","History","Horror","Music","Mystery","Romance","Science.Fiction","Thriller","War","Western","count"
"36",150000000,8373,21.939663,836297228,150,6,3138,"Paramount Pictures","Transformers: Revenge of the Fallen","Michael Bay","Shia LaBeouf","Josh Duhamel","Josh Duhamel",2009,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,269
"37",210000000,91314,116.840296,1091405097,165,5.8,3095,"Paramount Pictures","Transformers: Age of Extinction","Michael Bay","Mark Wahlberg","Kelsey Grammer","Kelsey Grammer",2014,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,269
"38",200000000,68728,46.985445,491868548,130,5.7,3530,"Walt Disney","Oz: The Great and Powerful","Sam Raimi","James Franco","Rachel Weisz","Rachel Weisz",2013,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,134
"39",200000000,102382,89.270217,705717432,142,6.5,4179,"Columbia Pictures","The Amazing Spider-Man 2","Marc Webb","Andrew Garfield","Jamie Foxx","Jamie Foxx",2014,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,224
"40",170000000,20526,73.79505,400062763,125,6.3,2841,"Walt Disney","TRON: Legacy","Joseph Kosinski","Garrett Hedlund","Olivia Wilde","Olivia Wilde",2010,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,134
"41",200000000,49013,49.98659,559852396,106,5.8,2033,"Walt Disney","Cars 2","John Lasseter","Owen Wilson","Michael Caine","Michael Caine",2011,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,134
"42",200000000,44912,51.872839,219851172,114,5.1,2487,"De Line Pictures","Green Lantern","Martin Campbell","Ryan Reynolds","Peter Sarsgaard","Peter Sarsgaard",2011,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
"43",200000000,10193,59.995418,1066969703,103,7.6,4597,"Walt Disney","Toy Story 3","Lee Unkrich","Tom Hanks","Ned Beatty","Ned Beatty",2010,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,134
"44",200000000,534,71.862892,371353001,115,5.9,2463,"Columbia Pictures","Terminator Salvation","McG","Christian Bale","Anton Yelchin","Anton Yelchin",2009,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,224
"45",190000000,168259,102.322217,1506249360,137,7.3,4176,"Universal Pictures","Furious 7","James Wan","Vin Diesel","Dwayne Johnson","Dwayne Johnson",2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286
"46",200000000,72190,81.834855,531865000,116,6.7,5560,"Paramount Pictures","World War Z","Marc Forster","Brad Pitt","Abigail Hargrove","Abigail Hargrove",2013,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,269
"47",250000000,127585,118.078691,747862775,131,7.5,6032,"Twentieth Century Fox ","X-Men: Days of Future Past","Bryan Singer","Hugh Jackman","Michael Fassbender","Michael Fassbender",2014,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,161
"48",190000000,54138,78.291018,467365246,132,7.4,4418,"Paramount Pictures","Star Trek Into Darkness","J.J. Abrams","Chris Pine","Zoe Saldana","Zoe Saldana",2013,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,269
"49",195000000,81005,43.349855,197687603,114,5.5,2598,"New Line Cinema","Jack the Giant Slayer","Bryan Singer","Nicholas Hoult","Ewan McGregor","Ewan McGregor",2013,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,136
"50",105000000,64682,61.196071,351040419,143,7.3,3769,"Village Roadshow Pictures","The Great Gatsby","Baz Luhrmann","Leonardo DiCaprio","Carey Mulligan","Carey Mulligan",2013,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,65
"51",150000000,9543,62.169881,335154643,116,6.2,2317,"Walt Disney","Prince of Persia: The Sands of Time","Mike Newell","Jake Gyllenhaal","Ben Kingsley","Ben Kingsley",2010,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,134
"52",180000000,68726,56.523205,407602906,131,6.7,4794,"Legendary Pictures","Pacific Rim","Guillermo del Toro","Idris Elba","Charlie Day","Charlie Day",2013,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16
"53",195000000,38356,28.529607,1123746996,154,6.1,3299,"Paramount Pictures","Transformers: Dark of the Moon","Michael Bay","Shia LaBeouf","Ken Jeong","Ken Jeong",2011,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,269
"54",185000000,217,75.674458,786636033,122,5.7,2495,"Lucasfilm","Indiana Jones and the Kingdom of the Crystal Skull","Steven Spielberg","Harrison Ford","Shia LaBeouf","Shia LaBeouf",2008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"55",175000000,105864,51.692953,331926147,93,6.6,1736,"Walt Disney","The Good Dinosaur","Peter Sohn","Raymond Ochoa","Jeffrey Wright","Jeffrey Wright",2015,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,134
"56",185000000,62177,125.114374,538983207,93,6.7,4641,"Walt Disney","Brave","Brenda Chapman","Kelly Macdonald","Billy Connolly","Billy Connolly",2012,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,134
"57",185000000,188927,65.352913,343471816,122,6.6,2568,"Paramount Pictures","Star Trek Beyond","Justin Lin","Chris Pine","Karl Urban","Karl Urban",2016,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,269
"58",180000000,10681,66.390712,521311860,98,7.8,6296,"Walt Disney","WALL·E","Andrew Stanton","Ben Burtt","Jeff Garlin","Jeff Garlin",2008,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,134
"59",140000000,5174,22.57178,258022233,91,6.1,783,"New Line Cinema","Rush Hour 3","Brett Ratner","Chris Tucker","Hiroyuki Sanada","Hiroyuki Sanada",2007,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,136
"60",200000000,14161,45.274225,769653595,158,5.6,4903,"Columbia Pictures","2012","Roland Emmerich","John Cusack","Chiwetel Ejiofor","Chiwetel Ejiofor",2009,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,224
"61",200000000,17979,39.744242,325233863,96,6.6,1095,"Walt Disney","A Christmas Carol","Robert Zemeckis","Gary Oldman","Steve Valentine","Steve Valentine",2009,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,134
"62",176000003,76757,85.36908,183987723,124,5.2,2768,"Village Roadshow Pictures","Jupiter Ascending","Lilly Wachowski","Mila Kunis","Sean Bean","Sean Bean",2015,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,65
"63",180000000,258489,42.741719,356743061,109,5.5,2430,"Village Roadshow Pictures","The Legend of Tarzan","David Yates","Alexander Skarsgård","Christoph Waltz","Christoph Waltz",2016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
"64",180000000,411,67.391328,748806957,143,6.7,2629,"Walt Disney","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Andrew Adamson","William Moseley","Skandar Keynes","Skandar Keynes",2005,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,134
"65",178000000,246655,139.272042,543934787,144,6.4,4721,"Twentieth Century Fox ","X-Men: Apocalypse","Bryan Singer","James McAvoy","Jennifer Lawrence","Jennifer Lawrence",2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,161
"66",185000000,155,187.322927,1004558444,152,8.2,12002,"DC Comics","The Dark Knight","Christopher Nolan","Christian Bale","Aaron Eckhart","Aaron Eckhart",2008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8
"67",175000000,14160,92.201962,735099082,96,7.7,6870,"Pixar Animation Studios","Up","Pete Docter","Ed Asner","Jordan Nagai","Jordan Nagai",2009,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4
"68",175000000,15512,36.167578,381509870,94,6,1423,"DreamWorks Animation","Monsters vs Aliens","Conrad Vernon","Seth Rogen","Hugh Laurie","Hugh Laurie",2009,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14
"69",140000000,1726,120.725053,585174222,126,7.4,8776,"Marvel Studios","Iron Man","Jon Favreau","Robert Downey Jr.","Jeff Bridges","Jeff Bridges",2008,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
"70",170000000,44826,32.319043,185770160,126,7,2141,"Paramount Pictures","Hugo","Martin Scorsese","Ben Kingsley","Asa Butterfield","Asa Butterfield",2011,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,269
"71",145000000,1735,60.034162,401128639,112,5.2,1387,"Universal Pictures","The Mummy: Tomb of the Dragon Emperor","Rob Cohen","Brendan Fraser","John Hannah","John Hannah",2008,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,286
"72",175000000,297761,90.23792,7.45e+08,123,5.9,7458,"DC Comics","Suicide Squad","David Ayer","Will Smith","Joel Kinnaman","Joel Kinnaman",2016,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8
"73",175000000,2698,27.082182,1.73e+08,96,5.3,1151,"Columbia Pictures","Evan Almighty","Tom Shadyac","Steve Carell","John Goodman","John Goodman",2007,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,224
"74",178000000,137113,79.456485,370541256,113,7.6,4858,"Village Roadshow Pictures","Edge of Tomorrow","Doug Liman","Tom Cruise","Brendan Gleeson","Brendan Gleeson",2014,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,65
"75",175000000,9804,44.640292,264218220,135,5.9,992,"Universal Pictures","Waterworld","Kevin Reynolds","Kevin Costner","Rick Aviles","Rick Aviles",1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286
"76",175000000,14869,32.852443,302469017,118,5.6,1962,"Paramount Pictures","G.I. Joe: The Rise of Cobra","Stephen Sommers","Dennis Quaid","Marlon Wayans","Marlon Wayans",2009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,269
"77",175000000,150540,128.655964,857611174,94,8,6560,"Walt Disney","Inside Out","Pete Docter","Amy Poehler","Richard Kind","Richard Kind",2015,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,134
"78",175000000,278927,94.199316,966550600,106,6.7,2892,"Walt Disney","The Jungle Book","Jon Favreau","Neel Sethi","Ben Kingsley","Ben Kingsley",2016,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,134
"79",200000000,10138,77.300194,623933331,124,6.6,6849,"Marvel Studios","Iron Man 2","Jon Favreau","Robert Downey Jr.","Don Cheadle","Don Cheadle",2010,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
"80",170000000,58595,77.178973,396600000,127,5.8,3118,"Universal Pictures","Snow White and the Huntsman","Rupert Sanders","Kristen Stewart","Chris Hemsworth","Chris Hemsworth",2012,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,286
"81",180000000,102651,110.620647,758539785,97,7,4496,"Walt Disney","Maleficent","Robert Stromberg","Angelina Jolie","Sharlto Copley","Sharlto Copley",2014,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,134
"82",170000000,119450,243.791743,710644566,130,7.3,4410,"Ingenious Media","Dawn of the Planet of the Apes","Matt Reeves","Andy Serkis","Gary Oldman","Gary Oldman",2014,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7
"83",170000000,100402,72.225265,714766572,136,7.6,5764,"Marvel Studios","Captain America: The Winter Soldier","Anthony Russo","Chris Evans","Scarlett Johansson","Scarlett Johansson",2014,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
"84",165000000,10192,44.041186,752600867,93,6,1959,"DreamWorks Animation","Shrek Forever After","Mike Mitchell","Mike Myers","Cameron Diaz","Cameron Diaz",2010,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,14
"85",190000000,158852,130.311355,209154322,130,6.2,2846,"Walt Disney","Tomorrowland","Brad Bird","Britt Robertson","Raffey Cassidy","Raffey Cassidy",2015,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,134
"86",165000000,177572,203.73459,652105443,102,7.8,6135,"Walt Disney","Big Hero 6","Chris Williams","Scott Adsit","Daniel Henney","Daniel Henney",2014,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,134
"87",165000000,82690,62.341073,471222889,108,7.1,4570,"Walt Disney","Wreck-It Ralph","Rich Moore","John C. Reilly","Jack McBrayer","Jack McBrayer",2012,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,134
"88",165000000,47933,48.775723,389681935,120,4.9,2491,"Twentieth Century Fox ","Independence Day: Resurgence","Roland Emmerich","Liam Hemsworth","Bill Pullman","Bill Pullman",2016,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,161
"89",165000000,10191,67.263269,494878759,98,7.5,4227,"DreamWorks Animation","How to Train Your Dragon","Chris Sanders","Jay Baruchel","Craig Ferguson","Craig Ferguson",2010,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14
"90",200000000,296,69.405188,4.35e+08,109,5.9,2143,"Columbia Pictures","Terminator 3: Rise of the Machines","Jonathan Mostow","Arnold Schwarzenegger","Claire Danes","Claire Danes",2003,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,224
"91",170000000,118340,481.098624,773328629,121,7.9,9742,"Marvel Studios","Guardians of the Galaxy","James Gunn","Chris Pratt","Dave Bautista","Dave Bautista",2014,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
"92",165000000,157336,724.247784,675120017,169,8.1,10867,"Paramount Pictures","Interstellar","Christopher Nolan","Matthew McConaughey","Anne Hathaway","Anne Hathaway",2014,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,269
"93",160000000,27205,167.58371,825532764,148,8.1,13752,"Legendary Pictures","Inception","Christopher Nolan","Leonardo DiCaprio","Ellen Page","Ellen Page",2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,16
"94",250000000,49051,108.849621,1021103568,169,7,8297,"WingNut Films","The Hobbit: An Unexpected Journey","Peter Jackson","Ian McKellen","Richard Armitage","Richard Armitage",2012,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
"95",38000000,9799,6.909942,207283925,106,6.6,3428,"Universal Pictures","The Fast and the Furious","Rob Cohen","Paul Walker","Michelle Rodriguez","Michelle Rodriguez",2001,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,286
"96",150000000,4922,60.269279,333932083,166,7.3,3292,"Paramount Pictures","The Curious Case of Benjamin Button","David Fincher","Cate Blanchett","Tilda Swinton","Tilda Swinton",2008,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,269
"97",160000000,49538,3.195174,353624124,132,7.1,5181,"Ingenious Film Partners","X-Men: First Class","Matthew Vaughn","James McAvoy","Jennifer Lawrence","Jennifer Lawrence",2011,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17
"98",160000000,131634,127.284427,653428261,137,6.6,3984,"Studio Babelsberg","The Hunger Games: Mockingjay - Part 2","Francis Lawrence","Jennifer Lawrence","Liam Hemsworth","Liam Hemsworth",2015,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15
"99",150000000,27022,35.580815,215283742,109,5.8,1470,"Walt Disney","The Sorcerer's Apprentice","Jon Turteltaub","Nicolas Cage","Monica Bellucci","Monica Bellucci",2010,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,134
"100",160000000,503,21.133748,181674817,99,5.5,583,"Virtual Studios","Poseidon","Wolfgang Petersen","Kurt Russell","Josh Lucas","Josh Lucas",2006,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
"101",170000000,241259,56.268916,299370084,113,6.5,1725,"Walt Disney","Alice Through the Looking Glass","James Bobin","Johnny Depp","Anne Hathaway","Anne Hathaway",2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,134
"102",160000000,810,42.986467,798958165,93,6,2278,"DreamWorks SKG","Shrek the Third","Chris Miller","Mike Myers","Cameron Diaz","Cameron Diaz",2007,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,54
"103",160000000,68735,63.148529,433677183,123,6.3,2268,"Universal Pictures","Warcraft","Duncan Jones","Paula Patton","Ben Foster","Ben Foster",2016,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,286
"104",155000000,87101,202.042635,440603537,126,5.8,3631,"Paramount Pictures","Terminator Genisys","Alan Taylor","Arnold Schwarzenegger","Emilia Clarke","Emilia Clarke",2015,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,269
"105",155000000,10140,49.661984,415686217,113,6.2,1514,"Dune Entertainment","The Chronicles of Narnia: The Voyage of the Dawn Treader","Michael Apted","Skandar Keynes","Simon Pegg","Simon Pegg",2010,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13
"106",140000000,676,34.20669,449220945,183,6.6,1791,"Jerry Bruckheimer Films","Pearl Harbor","Michael Bay","Ben Affleck","Kate Beckinsale","Kate Beckinsale",2001,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,9
"107",150000000,1858,25.468493,709709780,144,6.6,4040,"Paramount Pictures","Transformers","Michael Bay","Shia LaBeouf","Megan Fox","Megan Fox",2007,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,269
"108",155000000,1966,39.019229,167298192,175,5.6,927,"France 3 Cin\u00e9ma","Alexander","Oliver Stone","Colin Farrell","Val Kilmer","Val Kilmer",2004,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4
"109",150000000,675,78.144395,938212738,138,7.4,5494,"Warner Bros.","Harry Potter and the Order of the Phoenix","David Yates","Daniel Radcliffe","Emma Watson","Emma Watson",2007,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,128
"110",150000000,674,101.250416,895921036,157,7.5,5608,"Warner Bros.","Harry Potter and the Goblet of Fire","Mike Newell","Daniel Radcliffe","Emma Watson","Emma Watson",2005,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,128
"111",150000000,8960,56.758411,624029371,92,6.2,2961,"Columbia Pictures","Hancock","Peter Berg","Will Smith","Jason Bateman","Jason Bateman",2008,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,224
"112",150000000,6479,70.867401,585349010,101,6.9,4853,"Village Roadshow Pictures","I Am Legend","Francis Lawrence","Will Smith","Charlie Tahan","Charlie Tahan",2007,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65
"113",150000000,118,53.905592,474968763,115,6.7,3624,"Village Roadshow Pictures","Charlie and the Chocolate Factory","Tim Burton","Johnny Depp","David Kelly","David Kelly",2005,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,65
